other_links,date,month/year,latitude,longitude,city,STATE,reported function,accompanying text,accompanying visual signs,media,place,,structure,url_to_jpg,target,culprit,community response,description
other_links,date,month/year,latitude,longitude,city,STATE,reported function,accompanying text,accompanying visual signs,media,place,,structure,url_to_jpg,target,culprit,community response,description
http://www.wfmz.com/news/berks/teens-write-apology-for-hate-symbol-outside-exeter-library/381104380,03/03/2017,Mar-2017,41.320636,-75.819083,Exeter,PA,hate symbol,,pentagram,shaving cream,library,public facility,parking lot,https://cbsnewyork.files.wordpress.com/2017/02/westorangeswastikas.jpg?w=310&h=174&crop=1,,,,
http://newyork.cbslocal.com/2017/03/01/swastikas-uws-church/,03/01/2017,Mar-2017,40.778739,-73.974551,New York,NY,anit-Semitic graffiti,"""race office""",,wood,church,religious institution,front door,https://pbs.twimg.com/media/C52LBsqWYAYwHtn.jpg,"non-denominational church that publicly supports Black Lives Matter; also, a sanctuary congregation that welcomes undocumented immigrants,",,,
http://newyork.cbslocal.com/2017/02/28/cbs2-exclusive-swastikas-messages-of-hate-appear-on-bridge-in-west-orange-park/,02/28/2017,Feb-2017,40.748928,-74.26099,South Orange,NJ,hate graffiti,,,spray paint,park,public space,bridge,https://cbsnewyork.files.wordpress.com/2017/02/westorangeswastikas.jpg?w=310&h=174&crop=1,,,"candle vigil; ""hate has no home"" and ""we say yes to love"" flyers; installed security cameras",
http://wjla.com/news/local/swastika-gay-slur-note-found-outside-building-on-univ-mary-washington-campus,02/17/2017,Feb-2017,38.303184,-77.46054,Fredericksburgh,VA,incident,"""Attention Faggots. We could live next door.""",,paper and ink,college,college,exterior wall,https://cbsnewyork.files.wordpress.com/2017/02/westorangeswastikas.jpg?w=310&h=174&crop=1,LGBT community,,,
http://www.alligator.org/news/campus/article_ff050240-e3e2-11e6-a7c8-d7f0f011fd11.html,01/26/2017,Jan-2017,29.651634,-82.324826,Gainesville,FL,social experiment,,,cloth,college,college,armband,http://bloximages.chicago2.vip.townnews.com/alligator.org/content/tncms/assets/v3/editorial/3/cf/3cf66992-e445-11e6-a911-3b70524053b2/588ac622edacd.image.jpg?resize=300%2C200,,"34 year old, white male, Hillary supporter who says was conducting a social experiment","immediate public peaceful protest at site, physical beating by two locals; letter from college president calling it a symbol of hate",
http://www.ricethresher.org/article/2017/02/willys-statue-vandalized-with-swastika,02/24/2017,Feb-2017,29.717394,-95.401831,Houston,TX,vandalism,"""TRUMP,"" ""@TX2againsttrump""",,chalk,college,college,statue,https://s3.amazonaws.com/media.rce/1914_willy_grafitti_this_is_photo_from_fbf.jpg,,"hashtag belongs to group who identify as ""a group of Rep. Poe's constituents that are dedicated to bringing the Representative to fight the immoral and unconstitutional actions of President Trump""",condemnation by college president and president of Rice Jewish Club who said it should be treated as hate crime,
https://dailygazette.com/article/2017/02/10/schenectady-police-investigate-swastika-vandalism,02/10/2017,Feb-2017,42.814243,-73.939569,Schenectady,NY,vandalism,,,spray paint,private residence,private residence,exterior wall,https://dailygazette.com/sites/default/files/styles/article_image/public/king-swastika.jpg?itok=maA3Urwx,"devout Jew who always wears yarmulke in public, but also Trump supporter",,,
http://www.courant.com/news/connecticut/hc-new-haven-trump-graffiti-20170207-story.html,02/07/2017,Feb-2017,41.308274,-72.927884,New Haven,CT,graffiti,"""KKK,"" ""666,"" ""police,"" ""war,"" ""USA,""","Trump, Star of David",spray paint,immigration office,governmental building,exterior wall,,immigration supporters,,,"this building has experienced multiple ""racist graffiti"" attacks"
https://cronkitenews.azpbs.org/2017/08/31/controversy-banner-crossed-swastika-prompts-meeting-rising-fc/,8/26/2017,Aug-2017,,,Tempe,AZ,,Stop Racism,"Crossed out KKK, WP, and Swastikas",marker,sports game,public space,banner,https://cronkitenews.azpbs.org/wp-content/uploads/2017/08/losbandidos.1170.jpg,,,,
http://nypost.com/2017/08/28/man-casually-wears-swastika-necklace-on-subway-freaks-out-riders/,8/20/2017,Aug-2017,,,New York,NY,,,,,subway,public transportation,human body,https://scontent-dft4-1.cdninstagram.com/t51.2885-15/e35/20969407_2022958641267365_2453703408771661824_n.jpg,,,,
https://www.dnainfo.com/new-york/20170825/upper-west-side/swastika-drawn-on-progressive-church-entrance?utm_source=Upper+West+Side+%26+Morningside+Heights&utm_campaign=d248627f17-Mailchimp-NYC&utm_medium=email&utm_term=0_7b32a2c556-d248627f17-137665157,8/23/2017,Aug-2017,,,New York,NY,,,,marker,church,religious institution,exterior wall,https://assets.dnainfo.com/photo/2017/8/1503686663-307950/extralarge.jpg,Liberal church attached to synagogue,,,
http://www.cleveland.com/lakewood/index.ssf/2017/08/swastikas_painted_on_driveway.html,8/16/2017,Aug-2017,,,Lakewood,OH,,,,spray paint,private residence,private residence,driveway,http://image.cleveland.com/home/cleve-media/width960/img/plain-dealer/photo/2017/08/16/-5f22bce9abee9c7e.png,,,,
http://upnorthlive.com/news/local/swastika-scribbled-on-manistee-womans-front-door,8/13/2017,Aug-2017,,,Manistee,MI,,,,marker,private residence,private residence,front door,http://static-27.sinclairstoryline.com/resources/media/67606464-ce4c-4979-830d-1de4fabcf147-large16x9_ScreenShot20170817at1.41.18AM.png,social justice vocal woman,,"Powers has signs in the windows of her home reflecting on her personal views. Some of them read, ""minority rights are human rights and “bigotry and hate speech will not be tolerated in this home."" She says her right to free speech, especially on her own property does not justify vandalism.",
http://bakersfieldnow.com/news/local/neighborhood-in-southeast-bakersfield-is-vandalized-with-a-swastika,8/15/2017,Aug-2017,,,Bakersfield,CA,vandalism,War is Coming,,spray paint,public space,public space,fence,http://static-33.sinclairstoryline.com/resources/media/6e0dfac8-b539-490a-a390-46bca881fb78-large16x9_fencegraffiti15aug2017.jpg,,,,
